ArcCorp Mining Area 157
Agricium,0,0
Agricultural Supplies,0,0
Altruciatoxin,0,0
Aluminum,0,0
Astatine,7.9,0
Beryl,0,0
Chlorine,1.31,0
Corundum,0,0
Diamond,0,0
Distilled Spirits,0,5.55
E'tam,0,0
Flourine,2.35,0
Gold,0,0
Hydrogen,0.1,0
Iodine,0.36,0
Laranite,0,0
Medical Supplies,0,17.51
Neon,0,0
Processed Food,0,1.5
Quartz,0,0
Revenant Tree Pollen,0,0
Scrap,0,0
Slam,0,0
Stims,0,3.8
Titanium,0,0
Tungstun,0,0
Waste,0.01,0
Widow,0,0
Amioshi Plaque Caves,0,0
Aphorite,0,152.5
Components Hurston Junk Pile,0,0
Dolivine,0,130
Golden Medmons Hurston Savanna,0,0
Hadanite,0,275
Pitambu Hurston Savanna,0,0
Prota Any Acidic,0,0
Ranta Dung Caves,0,0
Revenant Pods Desert With Atmosphere,0,0
