Port Olisar
Agricium,0,27.5
Agricultural Supplies,1.04,0
Altruciatoxin,0,0
Aluminum,0,1.3
Astatine,0,9
Beryl,0,4.21
Chlorine,0,1.7
Corundum,0,2.64
Diamond,0,6.67
Distilled Spirits,0,5.42
E'tam,0,0
Flourine,0,2.87
Gold,0,6.4
Hydrogen,0,1.11
Iodine,0,0.45
Laranite,0,28.26
Medical Supplies,17.4,0
Neon,0,0
Processed Food,0,1.5
Quartz,0,1.48
Revenant Tree Pollen,0,0
Scrap,0,1.85
Slam,0,0
Stims,0,3.8
Titanium,0,8.9
Tungstun,0,4.02
Waste,0.01,0
Widow,0,0
Amioshi Plaque Caves,0,13.2
Aphorite,0,152.5
Components Hurston Junk Pile,0,0
Dolivine,0,130
Golden Medmons Hurston Savanna,0,0
Hadanite,0,275
Pitambu Hurston Savanna,0,0
Prota Any Acidic,0,0
Ranta Dung Caves,0,44
Revenant Pods Desert With Atmosphere,0,0
